time,label
7:27:32,13
7:27:33,13
7:27:34,13
7:27:35,13
7:27:36,13
7:27:37,13
7:27:38,13
7:27:39,13
7:27:40,13
7:27:41,13
7:27:42,13
7:27:43,13
7:27:44,13
7:27:45,13
7:27:46,13
7:27:47,13
7:27:48,13
7:27:49,13
7:27:50,13
7:27:51,13
7:27:52,13
7:27:53,13
7:27:54,13
7:27:55,13
7:27:56,13
7:27:57,13
7:27:58,13
7:27:59,13
7:28:0,13
7:28:1,13
7:28:2,13
7:28:3,13
7:28:4,13
7:28:5,13
7:28:6,13
7:28:7,13
7:28:8,13
7:28:9,13
7:28:10,13
7:28:11,13
7:28:12,13
7:28:13,13
7:28:14,13
7:28:15,13
7:28:16,13
7:28:17,13
7:28:18,13
7:28:19,13
7:28:20,13
7:28:21,13
7:28:22,13
7:28:23,13
7:28:24,13
7:28:25,13
7:28:26,13
7:28:27,13
7:28:28,13
7:28:29,13
7:28:30,13
7:28:31,13
7:28:32,13
7:28:33,13
7:28:34,13
7:28:35,13
7:28:36,13
7:28:37,13
7:28:38,13
7:28:39,13
7:28:40,13
7:28:41,13
7:28:42,13
7:28:43,13
7:28:44,13
7:28:45,13
7:28:46,13
7:28:47,13
7:28:48,13
7:28:49,13
7:28:50,13
7:28:51,13
7:28:52,13
7:28:53,13
7:28:54,13
7:28:55,13
7:28:56,13
7:28:57,13
7:28:58,13
7:28:59,13
7:29:0,13
7:29:1,13
7:29:2,13
7:29:3,13
7:29:4,13
7:29:5,13
7:29:6,13
7:29:7,13
7:29:8,13
7:29:9,13
7:29:10,13
7:29:11,13
7:29:12,13
7:29:13,13
7:29:14,13
7:29:15,13
7:29:16,13
7:29:17,13
7:29:18,13
7:29:19,13
7:29:20,13
7:29:21,13
7:29:22,13
7:29:23,13
7:29:24,13
7:29:25,13
7:29:26,13
7:29:27,13
7:29:28,13
7:29:29,13
7:29:30,13
7:29:31,13
7:29:32,13
7:29:33,13
7:29:34,13
7:29:35,13
7:29:36,13
7:29:37,13
7:29:38,13
7:29:39,13
7:29:40,13
7:29:41,13
7:29:42,13
7:29:43,13
7:29:44,13
7:29:45,13
7:29:46,13
7:29:47,13
7:29:48,13
7:29:49,13
7:29:50,13
7:29:51,13
7:29:52,13
7:29:53,13
7:29:54,13
7:29:55,13
7:29:56,13
7:29:57,13
7:29:58,13
7:29:59,13
7:30:0,13
7:30:1,13
7:30:2,13
7:30:3,13
7:30:4,13
7:30:5,13
7:30:6,13
7:30:7,13
7:30:8,13
7:30:9,13
7:30:10,13
7:30:11,13
7:30:12,13
7:30:13,13
7:30:14,13
7:30:15,13
7:30:16,13
7:30:17,13
7:30:18,13
7:30:19,13
7:30:20,13
7:30:21,13
7:30:22,13
7:30:23,13
7:30:24,13
7:30:25,13
7:30:26,13
7:30:27,13
7:30:28,13
7:30:29,13
7:30:30,13
7:30:31,13
7:30:32,13
7:30:33,13
7:30:34,13
7:30:35,13
7:30:36,13
7:30:37,13
7:30:38,13
7:30:39,13
7:30:40,13
7:30:41,13
7:30:42,13
7:30:43,13
7:30:44,13
7:30:45,13
7:30:46,13
7:30:47,13
7:30:48,13
7:30:49,13
7:30:50,13
7:30:51,13
7:30:52,13
7:30:53,13
7:30:54,13
7:30:55,13
7:30:56,13
7:30:57,13
7:30:58,13
7:30:59,13
7:31:0,13
7:31:1,13
7:31:2,13
7:31:3,13
7:31:4,13
7:31:5,13
7:31:6,13
7:31:7,13
7:31:8,13
7:31:9,13
7:31:10,13
7:31:11,13
7:31:12,13
7:31:13,13
7:31:14,13
7:31:15,13
7:31:16,13
7:31:17,13
7:31:18,13
7:31:19,13
7:31:20,13
7:31:21,13
7:31:22,13
7:31:23,13
7:31:24,13
7:31:25,13
7:31:26,13
7:31:27,13
7:31:28,13
7:31:29,13
7:31:30,13
7:31:31,13
7:31:32,13
7:31:33,13
7:31:34,13
7:31:35,13
7:31:36,13
7:31:37,13
7:31:38,13
7:31:39,13
7:31:40,13
7:31:41,13
7:31:42,13
7:31:43,13
7:31:44,13
7:31:45,13
7:31:46,13
7:31:47,13
7:31:48,13
7:31:49,13
7:31:50,13
7:31:51,13
7:31:52,13
7:31:53,13
7:31:54,13
7:31:55,13
7:31:56,13
7:31:57,13
7:31:58,13
7:31:59,13
7:32:0,13
7:32:1,13
7:32:2,13
7:32:3,13
7:32:4,13
7:32:5,13
7:32:6,13
7:32:7,13
7:32:8,13
7:32:9,13
7:32:10,13
7:32:11,13
7:32:12,13
7:32:13,13
7:32:14,13
7:32:15,13
7:32:16,13
7:32:17,13
7:32:18,13
7:32:19,13
7:32:20,13
7:32:21,13
7:32:22,13
7:32:23,13
7:32:24,13
7:32:25,13
7:32:26,13
7:32:27,13
